178.214.211.99:443#RO [297.37ms 0.63Mbps]
104.26.4.108:443#US [297.40ms 1.11Mbps]
152.53.67.190:443#AT [297.44ms 1.13Mbps]
185.203.116.131:443#BG [297.50ms 1.44Mbps]
46.36.216.195:443#EE [297.51ms 0.56Mbps]
104.26.1.169:443#US [297.69ms 1.33Mbps]
2.27.169.174:8443#NL [297.88ms 0.37Mbps]
104.20.60.64:443#DE [298.08ms 4.58Mbps]
109.248.199.113:2053#KZ [298.29ms 0.35Mbps]
45.38.228.94:8443#FR [298.45ms 0.69Mbps]
104.20.59.17:443#DE [299.05ms 3.42Mbps]
104.20.62.200:443#DE [299.38ms 0.73Mbps]
95.182.90.45:8443#LV [299.50ms 0.89Mbps]
87.251.16.237:8443#EE [299.51ms 0.32Mbps]
62.182.195.147:443#SE [299.56ms 1.76Mbps]
179.255.190.5:443#IT [299.95ms 0.19Mbps]
167.99.183.13:443#CA [300.14ms 6.02Mbps]
172.233.44.161:443#NL [300.89ms 0.18Mbps]
38.180.253.71:443#RO [301.14ms 0.36Mbps]
185.47.131.138:443#ES [301.56ms 0.19Mbps]
155.103.71.142:8443#BG [302.53ms 4.03Mbps]
5.157.30.26:8443#IE [303.21ms 0.38Mbps]
89.125.139.115:443#AL [303.70ms 0.21Mbps]
38.213.228.91:443#MX [304.23ms 0.20Mbps]
89.19.214.117:443#NL [304.34ms 0.22Mbps]
185.226.181.184:2053#PL [304.52ms 0.42Mbps]
202.181.177.8:8443#SE [304.61ms 0.55Mbps]
141.101.90.110:443#FR [305.26ms 0.19Mbps]
4.232.64.201:443#IT [305.75ms 0.36Mbps]
89.147.109.212:443#IS [306.17ms 1.89Mbps]
5.45.122.10:8443#EE [306.23ms 0.37Mbps]
217.28.141.222:8443#FI [306.74ms 0.31Mbps]
104.20.62.3:443#DE [307.37ms 3.49Mbps]
35.241.172.224:443#FR [307.43ms 0.19Mbps]
166.1.228.218:443#CA [307.50ms 0.34Mbps]
104.20.50.109:443#DE [307.88ms 6.21Mbps]
206.168.215.172:443#SE [307.95ms 1.42Mbps]
185.179.82.246:443#PL [308.00ms 0.16Mbps]
82.223.109.250:443#ES [308.05ms 0.63Mbps]
193.187.132.11:2053#TR [308.11ms 0.57Mbps]
45.39.255.27:2053#FR [308.50ms 2.04Mbps]
104.20.58.136:443#DE [308.94ms 1.17Mbps]
104.20.56.169:443#DE [309.11ms 4.06Mbps]
170.64.232.210:443#AU [309.85ms 1.98Mbps]
104.18.2.127:443#US [310.96ms 1.53Mbps]
185.158.248.185:2087#RO [311.01ms 0.39Mbps]
185.39.30.18:8443#RO [311.07ms 0.40Mbps]
45.38.228.70:8443#FR [311.30ms 1.91Mbps]
89.127.235.250:443#IS [311.50ms 1.90Mbps]
185.232.171.125:2053#BG [311.57ms 1.77Mbps]
194.88.151.163:443#PL [312.17ms 3.53Mbps]
185.202.207.30:443#SE [312.39ms 0.32Mbps]
81.29.149.219:2053#NO [312.47ms 0.44Mbps]
62.182.195.6:443#SE [313.32ms 1.42Mbps]
94.177.8.237:443#AT [313.57ms 0.32Mbps]
95.216.168.240:2053#FI [313.92ms 0.39Mbps]
